Publication Years	Record Count	% of 388,862
2020	31507	8.102
2019	29419	7.565
2018	26190	6.735
2017	24777	6.372
2016	23347	6.004
2015	21975	5.651
2021	20614	5.301
2014	19731	5.074
2013	18506	4.759
2012	17403	4.475
2011	16089	4.137
2010	14682	3.776
2009	13183	3.390
2008	11586	2.979
2007	10387	2.671
2006	8818	2.268
2005	8042	2.068
2004	6738	1.733
2003	6345	1.632
2002	5591	1.438
2001	5261	1.353
2000	4742	1.219
1999	4558	1.172
1998	4319	1.111
1997	3806	0.979
1996	3596	0.925
1995	3369	0.866
1994	2874	0.739
1993	2509	0.645
1992	2392	0.615
1991	2068	0.532
1990	988	0.254
1989	772	0.199
1984	756	0.194
1987	733	0.188
1988	712	0.183
1983	710	0.183
1986	646	0.166
1985	623	0.160
1982	582	0.150
1979	562	0.145
1981	557	0.143
1980	547	0.141
1978	525	0.135
1977	462	0.119
1974	396	0.102
1975	396	0.102
1976	378	0.097
1971	367	0.094
1973	359	0.092
1972	348	0.089
1970	302	0.078
1967	290	0.075
1969	253	0.065
1968	230	0.059
1966	209	0.054
1965	196	0.050
1961	96	0.025
1964	91	0.023
1962	87	0.022
1963	86	0.022
1960	75	0.019
1959	71	0.018
1958	64	0.016
1957	56	0.014
1956	55	0.014
1954	54	0.014
1951	53	0.014
1950	45	0.012
1955	40	0.010
1952	39	0.010
1948	34	0.009
1953	34	0.009
1939	33	0.008
1936	30	0.008
1947	30	0.008
1949	30	0.008
1940	27	0.007
1945	24	0.006
1946	23	0.006
1932	22	0.006
1938	22	0.006
1937	18	0.005
1942	18	0.005
1923	16	0.004
1928	16	0.004
1924	14	0.004
1933	14	0.004
1934	14	0.004
1935	14	0.004
1941	14	0.004
1931	13	0.003
1926	12	0.003
1927	12	0.003
1921	10	0.003
1929	10	0.003
1930	10	0.003
1917	9	0.002
1925	9	0.002
1943	9	0.002
1944	9	0.002
1902	8	0.002
1909	7	0.002
1914	7	0.002
1915	7	0.002
2022	7	0.002
1916	6	0.002
1912	5	0.001
1919	5	0.001
1913	4	0.001
1918	4	0.001
1920	4	0.001
1922	3	0.001
1901	2	0.001
1903	2	0.001
1911	2	0.001
1904	1	0.000
1905	1	0.000
1907	1	0.000
1908	1	0.000
