Publication Years	Record Count	% of 5,724
2019	752	13.138
2020	699	12.212
2018	542	9.469
2021	460	8.036
2015	422	7.372
2017	420	7.338
2016	358	6.254
2013	287	5.014
2014	283	4.944
2012	202	3.529
2011	198	3.459
2010	180	3.145
2009	171	2.987
2008	144	2.516
2007	119	2.079
2006	112	1.957
2005	92	1.607
2004	73	1.275
2002	36	0.629
2003	30	0.524
1998	28	0.489
2001	25	0.437
1999	17	0.297
2000	15	0.262
1994	13	0.227
1995	11	0.192
1992	8	0.140
1997	8	0.140
1993	7	0.122
1996	7	0.122
1991	2	0.035
1985	1	0.017
1990	1	0.017
2022	1	0.017
