Publication Years	Record Count	% of 2,640,847
2020	213186	8.073
2019	188329	7.131
2018	170116	6.442
2017	159854	6.053
2016	150487	5.698
2021	145531	5.511
2015	140157	5.307
2014	129705	4.911
2013	121133	4.587
2012	109976	4.164
2011	101838	3.856
2010	92843	3.516
2009	85864	3.251
2008	76692	2.904
2007	67557	2.558
2006	59232	2.243
2005	54371	2.059
2004	46186	1.749
2003	44991	1.704
2002	41495	1.571
2001	39742	1.505
2000	39507	1.496
1999	34433	1.304
1998	31707	1.201
1997	29829	1.130
1996	25455	0.964
1995	23050	0.873
1994	19917	0.754
1993	18400	0.697
1992	17032	0.645
1991	15589	0.590
1990	6959	0.264
1984	5750	0.218
1989	5705	0.216
1986	5658	0.214
1988	5637	0.213
1985	5494	0.208
1987	5473	0.207
1983	5418	0.205
1982	5302	0.201
1981	5009	0.190
1980	4945	0.187
1979	4927	0.187
1978	4772	0.181
1977	4523	0.171
1974	3715	0.141
1976	3132	0.119
1975	3018	0.114
1973	2643	0.100
1965	2627	0.099
1966	2625	0.099
1967	2547	0.096
1972	2490	0.094
1970	2205	0.083
1971	2199	0.083
1969	2198	0.083
1968	1905	0.072
1961	1650	0.062
1964	1551	0.059
1962	1489	0.056
1963	1464	0.055
1960	1129	0.043
1959	1067	0.040
1958	972	0.037
1951	923	0.035
1954	919	0.035
1953	916	0.035
1950	897	0.034
1956	885	0.034
1948	877	0.033
1957	875	0.033
1952	874	0.033
1947	871	0.033
1949	859	0.033
1946	822	0.031
1955	721	0.027
1945	714	0.027
1941	666	0.025
1928	633	0.024
1943	627	0.024
1944	594	0.022
1930	557	0.021
1912	555	0.021
1933	523	0.020
1942	518	0.020
1934	517	0.020
1938	517	0.020
1939	517	0.020
1936	510	0.019
1920	502	0.019
1929	480	0.018
1927	479	0.018
1932	465	0.018
1931	463	0.018
1937	445	0.017
1940	444	0.017
1924	438	0.017
1919	422	0.016
1917	418	0.016
1935	406	0.015
1904	401	0.015
1913	399	0.015
1926	397	0.015
1915	393	0.015
1907	382	0.014
1908	380	0.014
1923	380	0.014
1914	379	0.014
1922	376	0.014
1905	372	0.014
1916	366	0.014
1925	359	0.014
1921	356	0.013
1911	320	0.012
1909	318	0.012
1901	315	0.012
1906	303	0.011
1910	277	0.010
1902	276	0.010
1918	274	0.010
1900	262	0.010
1903	206	0.008
2022	105	0.004
